Line,Time,Stime,Lat,Lon,PM10,Temp,Humi
1, 0.0.2000,0:0:0.0,69.652133,19.014039,2.8,22.9,9.5
2, 0.0.2000,0:0:0.0,69.651920,19.014067,2.3,22.9,10
3, 0.0.2000,0:0:0.0,69.651710,19.014126,2,22.8,9.9
4, 0.0.2000,0:0:0.0,69.651365,19.014176,1.8,22.8,9.9
5, 8.3.2018,15:7:4.0,69.685745,19.070234,7.5,10.8,3.7
6, 8.3.2018,15:7:7.0,69.685775,19.070255,7.4,10.7,3.7
7, 8.3.2018,15:7:10.0,69.685813,19.070274,7.2,10.6,3.7
8, 8.3.2018,15:7:13.0,69.685844,19.070276,7.1,10.6,3.8
9, 8.3.2018,15:7:16.0,69.685882,19.070245,6.8,10.5,3.8
10, 8.3.2018,15:7:19.0,69.68592,19.070209,6.9,10.4,3.8
11, 8.3.2018,15:7:22.0,69.685958,19.070169,7,10.4,4.
12, 8.3.2018,15:7:25.0,69.686004,19.070127,6.9,10.3,4
13, 8.3.2018,15:7:28.0,69.686035,19.07007,8,10.2,3.9
14, 8.3.2018,15:7:31.0,69.68608,19.070022,10.1,10.1,4
15, 8.3.2018,15:7:34.0,69.686111,19.06995,10.3,10.1,4.1
16, 8.3.2018,15:7:37.0,69.686149,19.069898,10.4,10,4.1
17, 8.3.2018,15:7:40.0,69.68618,19.069889,10.4,9.9,4.8
18, 8.3.2018,15:7:43.0,69.686225,19.069816,10.1,9.8,4.9
19, 8.3.2018,15:7:46.0,69.686225,19.069816,8.2,9.8,5
20, 8.3.2018,15:7:50.0,69.686225,19.069816,7.7,9.5,5.1
21, 8.3.2018,15:7:54.0,69.686225,19.069816,7.7,9.4,5.3
22, 8.3.2018,15:7:58.0,69.686225,19.069816,7.8,9.2,5.4
23, 8.3.2018,15:8:2.0,69.686195,19.070474,7.8,9,5.4
24, 8.3.2018,15:8:5.0,69.686286,19.070516,7.9,8.9,5.5
25, 8.3.2018,15:8:8.0,69.686386,19.070507,7.9,8.8,5.6
26, 8.3.2018,15:8:11.0,69.686424,19.070562,8,8.6,5.7
27, 8.3.2018,15:8:14.0,69.68647,19.070617,8.2,8.5,5.7
28, 8.3.2018,15:8:17.0,69.686531,19.070669,8.2,8.4,5.8
29, 8.3.2018,15:8:20.0,69.686607,19.07076,9,8.3,5.9
30, 8.3.2018,15:8:23.0,69.686622,19.070806,9.6,8.2,5.9
31, 8.3.2018,15:8:26.0,69.686607,19.070835,9.8,8,6
32, 8.3.2018,15:8:29.0,69.686569,19.070867,8,7.9,6.1
33,8.3.2018,15:8:32.0,69.686454,19.070804,7,7.7,6.1
34, 8.3.2018,15:8:35.0,69.686447,19.070959,7,7.7,6.2
35, 8.3.2018,15:8:38.0,69.686454,19.070993,7.1,7.6,6.1
36, 8.3.2018,15:8:41.0,69.686447,19.070985,6.9,7.6,7.3
37, 8.3.2018,15:8:45.0,69.686454,19.070972,6.5,7.6,8.5
0.7,20.3.2018 17:0:10,0,69.619621,18.944114,1.1,3.9,24.3
0.7,20.3.2018 17:0:11,0,69.619651,18.944139,1.1,3.9,24.5
0.7,20.3.2018 17:0:12,0,69.619682,18.944171,1.1,3.9,24.5
0.7,20.3.2018 17:0:13,0,69.619712,18.9442,1,3.9,24.5
0.7,20.3.2018 17:0:14,0,69.61975,18.944213,1,3.9,24.7
0.7,20.3.2018 17:0:15,0,69.619773,18.944236,1,3.9,24.7
0.7,20.3.2018 17:0:16,0,69.619789,18.944271,1,3.9,24.7
0.7,20.3.2018 17:0:17,0,69.619819,18.944307,1,3.8,24.8
0.7,20.3.2018 17:0:18,0,69.619842,18.944349,1.1,3.8,24.8
0.7,20.3.2018 17:0:19,0,69.619865,18.9444,1.2,3.8,24.8
0.7,20.3.2018 17:0:20,0,69.619888,18.944435,1.3,3.8,25
0.7,20.3.2018 17:0:21,0,69.619918,18.944458,1.3,3.8,25
0.7,20.3.2018 17:0:22,0,69.619949,18.944486,1.3,3.8,25
0.7,20.3.2018 17:0:23,0,69.619979,18.944515,1.3,3.6,25
0.7,20.3.2018 17:0:24,0,69.62001,18.944534,1.3,3.6,25
0.7,20.3.2018 17:0:25,0,69.62004,18.944561,1.3,3.6,25
0.7,20.3.2018 17:0:26,0,69.620071,18.944583,1.3,3.6,25.2
0.7,20.3.2018 17:0:27,0,69.620109,18.944593,1.3,3.6,25.2
0.8,20.3.2018 17:0:28,0,69.62014,18.944614,1.4,3.6,25.2
0.8,20.3.2018 17:0:29,0,69.62017,18.94465,1.4,3.5,25.3
0.8,20.3.2018 17:0:30,0,69.620201,18.944679,1.4,3.5,25.3
0.8,20.3.2018 17:0:31,0,69.620231,18.944698,1.4,3.5,25.3
0.8,20.3.2018 17:0:32,0,69.620269,18.944725,1.4,3.4,25.4
0.8,20.3.2018 17:0:33,0,69.6203,18.944759,1.4,3.4,25.4
0.8,20.3.2018 17:0:34,0,69.620338,18.944774,1.3,3.4,25.4
0.8,20.3.2018 17:0:35,0,69.620368,18.944799,1.3,3.4,25.6
0.8,20.3.2018 17:0:36,0,69.620399,18.944826,1.3,3.4,25.6
0.8,20.3.2018 17:0:37,0,69.620429,18.944843,1.3,3.4,25.6
0.8,20.3.2018 17:0:38,0,69.620452,18.944864,1.3,3.4,25.7
0.8,20.3.2018 17:0:39,0,69.620475,18.944894,1.3,3.4,25.7
0.8,20.3.2018 17:0:40,0,69.620498,18.944921,1.3,3.4,25.7
0.8,20.3.2018 17:0:41,0,69.620536,18.944931,1.3,3.4,25.8
0.8,20.3.2018 17:0:42,0,69.620567,18.944959,1.2,3.4,25.8
0.8,20.3.2018 17:0:43,0,69.620597,18.944992,1.1,3.4,25.8
0.8,20.3.2018 17:0:45,0,69.620651,18.945049,1,3.4,25.8
0.8,20.3.2018 17:0:46,0,69.620681,18.945087,1,3.4,25.8
0.8,20.3.2018 17:0:48,0,69.620735,18.945156,1,3.4,25.8
0.8,20.3.2018 17:0:49,0,69.620765,18.945196,1,3.4,25.8
0.7,20.3.2018 17:0:5,0,69.619461,18.943998,1,3.9,24.2
0.8,20.3.2018 17:0:51,0,69.620819,18.945243,1,3.2,26
0.8,20.3.2018 17:0:52,0,69.620849,18.945274,1,3.2,26
0.9,20.3.2018 17:0:54,0,69.620903,18.945301,2.7,3.1,26
1,20.3.2018 17:0:55,0,69.620925,18.945335,4.4,3.1,26
1,20.3.2018 17:0:57,0,69.620979,18.945379,6.4,3,26.1
1.1,20.3.2018 17:0:58,0,69.621009,18.945409,6.6,3,26.1
0.7,20.3.2018 17:0:6,0,69.619491,18.94403,1,3.9,24.2
0.7,20.3.2018 17:0:7,0,69.619529,18.944042,1,3.9,24.2
0.7,20.3.2018 17:0:8,0,69.619552,18.944055,1.1,3.9,24.3
0.7,20.3.2018 17:0:9,0,69.61959,18.944087,1.1,3.9,24.3
1.1,20.3.2018 17:1:0,0,69.62107,18.945453,6.9,3,26.1
1.1,20.3.2018 17:1:1,0,69.621101,18.945478,6.9,3,26.1
1.1,20.3.2018 17:1:11,0,69.621398,18.94572,7.2,3,26.5
1.1,20.3.2018 17:1:12,0,69.621429,18.945753,7.4,3,26.5
1.1,20.3.2018 17:1:14,0,69.62149,18.945785,7.7,3,26.5
1.1,20.3.2018 17:1:15,0,69.62152,18.945817,7.7,3,26.5
1.1,20.3.2018 17:1:17,0,69.621582,18.945852,7.7,3,26.6
1.1,20.3.2018 17:1:18,0,69.621612,18.945884,7.6,3,26.6
1,20.3.2018 17:1:20,0,69.621658,18.945941,7.4,2.9,26.6
1.1,20.3.2018 17:1:21,0,69.621688,18.945974,7.4,2.9,26.6
1.1,20.3.2018 17:1:23,0,69.621749,18.946016,7.5,2.8,26.7
1.1,20.3.2018 17:1:24,0,69.621772,18.946044,7.5,2.8,26.7
1,20.3.2018 17:1:26,0,69.621826,18.946069,7.5,2.8,26.8
1,20.3.2018 17:1:27,0,69.621856,18.946092,7.4,2.8,26.8
1,20.3.2018 17:1:29,0,69.621917,18.94614,7.4,2.9,26.9
1.1,20.3.2018 17:1:3,0,69.621154,18.945528,7,3,26.2
1,20.3.2018 17:1:30,0,69.621948,18.946153,7.4,2.9,26.9
1,20.3.2018 17:1:32,0,69.622001,18.946197,7.4,2.8,27
1,20.3.2018 17:1:33,0,69.622032,18.946201,7.5,2.8,27
1.1,20.3.2018 17:1:35,0,69.622093,18.946252,7.8,2.9,27.1
1.1,20.3.2018 17:1:36,0,69.622123,18.946266,7.8,2.9,27.1
1.1,20.3.2018 17:1:38,0,69.622177,18.946329,7.9,2.8,27.2
1.1,20.3.2018 17:1:40,0,69.622222,18.946365,8.5,2.8,27.1
1.1,20.3.2018 17:1:41,0,69.622253,18.946386,8.8,2.8,27.1
1.1,20.3.2018 17:1:43,0,69.622306,18.946426,8.8,2.8,27.2
1.1,20.3.2018 17:1:44,0,69.622337,18.946451,8.8,2.8,27.2
1.1,20.3.2018 17:1:46,0,69.622398,18.946487,8.8,2.7,27.1
1.1,20.3.2018 17:1:47,0,69.622428,18.946517,8.9,2.7,27.1
1.1,20.3.2018 17:1:49,0,69.622482,18.946565,8.9,2.8,27.2
1.1,20.3.2018 17:1:5,0,69.621223,18.945583,7.3,3.1,26.3
1.1,20.3.2018 17:1:50,0,69.622512,18.94659,8.8,2.8,27.2
1,20.3.2018 17:1:52,0,69.622573,18.946609,8.9,2.8,27.1
1,20.3.2018 17:1:53,0,69.622604,18.946636,8.9,2.8,27.1
0.9,20.3.2018 17:1:55,0,69.622657,18.946687,6.1,2.8,27.1
0.9,20.3.2018 17:1:57,0,69.622711,18.946762,4.6,2.8,27.1
0.9,20.3.2018 17:1:59,0,69.622764,18.946817,4.4,2.7,27.1
1.1,20.3.2018 17:1:6,0,69.621253,18.945602,7.2,3.1,26.3
1,20.3.2018 17:1:8,0,69.621307,18.945648,7.2,3.1,26.4
1.1,20.3.2018 17:1:9,0,69.621337,18.945678,7.2,3.1,26.4
1.7,20.3.2018 17:10:0,0,69.632759,18.960214,23.1,-0.1,33.9
1.6,20.3.2018 17:10:1,0,69.632774,18.960239,22.9,-0.1,33.9
1.6,20.3.2018 17:10:11,0,69.632896,18.960489,23.1,-0.1,34.3
1.7,20.3.2018 17:10:13,0,69.632949,18.960586,23.3,-0.1,34.3
1.8,20.3.2018 17:10:15,0,69.632995,18.960672,23.5,-0.1,34.5
1.9,20.3.2018 17:10:17,0,69.633056,18.96076,24.2,-0.1,34.5
2,20.3.2018 17:10:19,0,69.633087,18.960834,24.1,0,34.8
