Time,Lat,Lon,Temp,Humi,PM10,PM25
19.4.2018 6:10:54.0,69.689125,19.082380,23.10,27.40,13.60,2.40
19.4.2018 6:10:57.0,69.689125,19.082378,22.70,25.00,13.00,2.40
19.4.2018 6:11:0.0,69.689155,19.082365,22.70,24.90,14.30,2.40
19.4.2018 6:11:3.0,69.689071,19.082311,22.60,24.90,15.90,2.40
19.4.2018 6:11:6.0,69.689048,19.082313,22.60,25.10,15.40,2.50
19.4.2018 6:11:9.0,69.689025,19.082324,22.60,25.20,15.40,2.50
19.4.2018 6:11:12.0,69.689002,19.082317,22.60,25.40,15.20,2.50
19.4.2018 6:11:15.0,69.688987,19.082324,22.50,25.40,15.60,2.50
19.4.2018 6:11:18.0,69.688972,19.082332,22.50,25.50,16.60,2.40
19.4.2018 6:11:21.0,69.688957,19.082338,22.50,25.60,16.60,2.40
19.4.2018 6:11:24.0,69.688941,19.082344,22.50,25.60,16.60,2.40
19.4.2018 6:11:27.0,69.688934,19.082345,22.40,25.70,16.50,2.40
19.4.2018 6:11:30.0,69.688926,19.082344,22.40,25.70,16.40,2.30
19.4.2018 6:11:33.0,69.688949,19.082302,22.40,25.80,16.30,2.30
19.4.2018 6:11:36.0,69.688995,19.082241,22.40,25.80,16.00,2.30
19.4.2018 6:11:39.0,69.689041,19.082206,22.40,25.70,13.20,2.20
19.4.2018 6:11:42.0,69.689079,19.082189,22.40,25.60,7.90,2.10
19.4.2018 6:11:45.0,69.689109,19.082174,22.30,25.50,7.80,2.10
19.4.2018 6:11:48.0,69.689140,19.082164,22.30,25.40,7.70,2.00
19.4.2018 6:11:51.0,69.689163,19.082157,22.30,25.30,7.30,2.00
19.4.2018 6:11:54.0,69.689186,19.082157,22.30,25.30,7.00,1.90
19.4.2018 6:11:57.0,69.689208,19.082159,22.30,25.30,6.80,1.90
19.4.2018 6:12:0.0,69.689224,19.082159,22.30,25.20,5.30,1.90
19.4.2018 6:12:3.0,69.689239,19.082159,22.20,25.10,3.20,1.80
19.4.2018 6:12:6.0,69.689247,19.082157,22.20,25.00,3.00,1.70
19.4.2018 6:12:9.0,69.689247,19.082157,22.20,25.00,2.90,1.60
19.4.2018 6:12:12.0,69.689247,19.082162,22.20,24.90,3.00,1.70
19.4.2018 6:12:15.0,69.689239,19.082166,22.20,24.90,2.50,1.70
19.4.2018 6:12:18.0,69.689231,19.082166,22.10,24.80,1.80,1.70
19.4.2018 6:12:21.0,69.689231,19.082160,22.10,24.70,1.80,1.70
19.4.2018 6:12:24.0,69.689224,19.082159,22.00,24.60,1.70,1.60
19.4.2018 6:12:27.0,69.689224,19.082160,22.00,24.60,1.70,1.60
19.4.2018 6:12:30.0,69.689216,19.082162,22.00,24.60,2.10,1.70
19.4.2018 6:12:33.0,69.689216,19.082162,22.00,24.60,2.70,1.70
19.4.2018 6:12:36.0,69.689208,19.082162,22.00,24.60,2.60,1.70
19.4.2018 6:12:39.0,69.689208,19.082166,21.90,24.50,2.60,1.70
19.4.2018 6:12:42.0,69.689208,19.082168,21.90,24.40,2.70,1.70
19.4.2018 6:12:45.0,69.689208,19.082164,21.90,24.40,2.90,1.80
19.4.2018 6:12:48.0,69.689201,19.082166,21.90,24.40,3.10,1.80
19.4.2018 6:12:51.0,69.689193,19.082170,21.80,24.30,3.10,1.80
19.4.2018 6:12:54.0,69.689193,19.082176,21.80,24.30,3.10,1.80
19.4.2018 6:12:57.0,69.689186,19.082183,21.80,24.30,3.00,1.80
19.4.2018 6:13:0.0,69.689178,19.082189,21.80,24.30,3.00,1.80
