Time,Latitude,Longitude,PM10,PM25,Humidity,Temperature
00.00. 00:00:00.00,69.649497,19.00777,9.2,1.2,70.6,3.9
00.00. 00:00:00.00,69.649475,19.007732,9.2,1.2,69.7,3.9
00.00. 00:00:00.00,69.649444,19.007663,9.1,1.1,72.7,3.7
00.00. 00:00:00.00,69.649436,19.007633,9,1.1,72.7,3.7
00.00. 00:00:00.00,69.649421,19.007579,8.6,1.1,71.7,3.7
00.00. 00:00:00.00,69.649421,19.00756,8.4,1.1,71.7,3.7
00.00. 00:00:00.00,69.649406,19.007509,7.2,1.1,69.1,3.6
00.00. 00:00:00.00,69.649391,19.007476,6.7,1,69.1,3.6
00.00. 00:00:00.00,69.64933,19.007329,16.6,1.5,72,3.4
00.00. 00:00:00.00,69.649345,19.007356,13.1,1.3,72,3.4
00.00. 00:00:00.00,69.649368,19.007432,6.2,1,69,3.4
00.00. 00:00:00.00,69.64936,19.007408,6,0.9,69,3.4
00.00. 00:00:00.00,69.649299,19.007266,16.2,1.5,71.3,3.3
00.00. 00:00:00.00,69.649284,19.007236,16.1,1.5,71.3,3.3
00.00. 00:00:00.00,69.649269,19.007183,15.9,1.4,76.7,3.2
00.00. 00:00:00.00,69.649261,19.007154,15.8,1.4,76.7,3.2
00.00. 00:00:00.00,69.649238,19.007106,15.8,1.4,76.8,3.2
00.00. 00:00:00.00,69.64923,19.007076,15.8,1.4,76.8,3.2
00.00. 00:00:00.00,69.649208,19.007019,15.3,1.4,77.9,3.2
00.00. 00:00:00.00,69.649185,19.006965,14.9,1.4,77.4,3.2
00.00. 00:00:00.00,69.649177,19.006942,14.7,1.4,77.4,3.2
00.00. 00:00:00.00,69.649124,19.006807,14.7,1.4,80.9,3.2
00.00. 00:00:00.00,69.649108,19.006778,14.5,1.4,80.9,3.2
00.00. 00:00:00.00,69.649093,19.006719,14.4,1.4,80.6,3.2
00.00. 00:00:00.00,69.649093,19.006689,14.4,1.4,80.6,3.2
00.00. 00:00:00.00,69.649047,19.005632,13.5,1.3,86.4,3.2
00.00. 00:00:00.00,69.649055,19.005563,13.5,1.3,86.4,3.2
00.00. 00:00:00.00,69.649055,19.006517,13.3,1.3,81.4,3.2
00.00. 00:00:00.00,69.649047,19.006481,13.3,1.3,81.4,3.2
00.00. 00:00:00.00,69.649147,19.006862,14.8,1.4,78.8,3.1
00.00. 00:00:00.00,69.649154,19.006889,14.6,1.4,78.8,3.1
00.00. 00:00:00.00,69.649047,19.005493,13.5,1.4,85.1,3.1
00.00. 00:00:00.00,69.649055,19.005426,13.5,1.4,85,3.1
00.00. 00:00:00.00,69.649078,19.006628,14.1,1.3,79.1,3.1
00.00. 00:00:00.00,69.64907,19.006591,13.7,1.3,79.1,3.1
00.00. 00:00:00.00,69.649017,19.006204,13.6,1.3,83.1,3.1
00.00. 00:00:00.00,69.649017,19.006175,13.6,1.3,83.1,3.1
00.00. 00:00:00.00,69.649017,19.006072,13.6,1.3,83.6,3.1
00.00. 00:00:00.00,69.649024,19.00601,13.6,1.3,83.6,3.1
00.00. 00:00:00.00,69.649024,19.005937,13.6,1.3,84.9,3.1
00.00. 00:00:00.00,69.649024,19.005908,13.6,1.3,84.9,3.1
00.00. 00:00:00.00,69.649017,19.006328,13.5,1.3,82,3.1
00.00. 00:00:00.00,69.649017,19.00629,13.5,1.3,82,3.1
00.00. 00:00:00.00,69.649032,19.005844,13.5,1.3,85.5,3.1
